EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Tay không	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ kiếm 1	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ kiếm 2	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ kiếm 3	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ đao 1	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ đao 2	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
đơn thủ đao 3	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1						96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường thương 1	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường thương 2	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Loại trường thương 3	80,8,1	64,8,1	64,8,1		64,8,1		96,8,1	96,8,1		96,8,1		96,8,1	96,8,1		96,8,1		64,8,1		48,8,1		104,8,1		80,8,1		96,8,1			104,8,1	96,8,1				96,8,1		96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
