Status	ẻÄẳỵÃỷ	ÀàéÍ	²ƠãÅãẵấẵ	ệữẵầẫớºú¿êấẳệĂ	ệữẵầẫớºúẵỏấứệĂ	ả¯ằưìĩệĂấý	ả¯ằưìĩãẵẽũấý	ả¯ằưệĂẳọáụ	Íẳãệẳá°ờ	ậàÃữÊºÍẳệằÄĩãệ1ĂÂ2ĂÂ3°ờ
Status1	Special	Head	Loop			8	1	50	1	Choáng
Status2	Special	Foot	Loop			8	1	50	1	Trúng độc
Status3	Special	Body	Loop	0	29	8	1	50	1	đóng băng 
Status4	Special	Body	Loop	10	20	8	1	50	1	đốt 
Status5	Special	Body				8	1	50	1	hỗn loạn
Status6	\spr\skill\ẻồảắẵè\wdu_06_ẻịéẻạặ.spr	Foot	Loop	0	0	30	1	18	1	Vô Hình Độc
Status7	\spr\skill\ẻồảắẵè\wdu_07_ảắảĩ.spr	Body	Loop	0	15	20	1	12	1	Độc thuẫn
Status8	\spr\skill\ẻồảắẵè\wdu_08_±ựÀảéỵắĐ.spr	Head	Loop	0	0	30	1	18	1	Băng Lam Huyền Tinh
Status9	\spr\skill\ẻồảắẵè\wdu_09_Àìả¯ắÅèỡ.spr	Head	Loop	0	0	30	1	18	1	Lôi động Cửu Thiên 
Status10	\spr\skill\ẻồảắẵè\wdu_10_³àẹổấ´èỡ.spr	Head	Loop	0	0	30	1	18	1	Xích Diệm Thực Thiên
Status11	\spr\skill\ẻồảắẵè\wdu_11_Íũạặấ´éÄ.spr	Head	Loop	0	0	30	1	18	1	Vạn Độc Thực Tâm
Status12	\spr\skill\ẻồảắẵè\wdu_12_ềặằăẵểểủ.spr	Head	Loop	0	0	20	1	12	1	Di Hoa Tiếp Ngọc
Status13	\spr\skill\ÀƠÂỉ\kl_06_´úÀậấ´¿ế.spr	Body	Loop	5	15	20	1	12	1	Đại Lãng Thực Không
Status14	\spr\skill\ÀƠÂỉ\kl_07_ềýÀìảíàỉ.spr	Body	Loop	7	22	30	1	18	1	Dẫn Lôi Độn Địa
Status15	\spr\skill\ÀƠÂỉ\kl_08_Áềằðºỡ³ắ.spr	Body	Loop	7	22	30	1	18	1	Liệt Hỏa Hồng Trần
Status16	\spr\skill\ÀƠÂỉ\kl_09_Äắệộ±ứẵõ.spr	Body	Loop	40	40	40	1	16	1	Mộc Châu Binh Giải
Status17	\spr\skill\ÀƠÂỉ\kl_10_ằơ²ằÁụấệ.spr	Body	Loop	4	12	15	1	12	1	Hoạt Bất Lưu Thủ 
Status18	\spr\skill\ẻọà±\wd_08_ẩậẵÊºẽềằ.spr	Body	Loop	7	22	30	1	18	1	Nhân Kiếm Hợp Nhất  
Status19	\spr\skill\ẻọà±\wd_06_ìứÍỹẻịẻề.spr	Head	Loop	0	0	36	1	21	1	Tọa Vọng Vô Ngã 
Status20	\spr\skill\ẻọà±\wd_07_ặòéầếú.spr	Foot	Loop	0	0	30	1	24	1	Thất Tinh Trận
Status21	\spr\skill\èỡẩè\mag_tr_06_ằðảĩ.spr	Body	Loop	4	12	15	1	18	1	Hỏa Thuẫn
Status22	\spr\skill\èỡẩè\mag_tr_07_Íàèỡằằẩế.spr	Head	Loop	0	0	15	1	3	1	Thâu Thiên Hoán Nhật
Status23	\spr\skill\èỡẩè\mag_tr_08_ẻỹéầ´úãă.spr	Head	Loop	0	0	15	1	3	1	Hấp Tinh Đại Pháp
Status24	\spr\skill\èỡẩè\mag_tr_09_ẵốÁƯ´ũÁƯ.spr	Head	Loop	0	0	15	1	3	1	Tá Lực Đả Lực
Status25	\spr\skill\èỡẩè\mag_tr_10_ấ´ạầẹêỉð.spr	Head	Loop	0	0	15	1	30	1	Thực Cốt Huyết Nhẫn 
Status26	\spr\skill\èỡẩè\mag_tr_11_ằÃể°ãẫºỹ.spr	Head	Loop	0	0	15	1	12	1	ảo ảnh Phi Hồ 
Status27	\spr\skill\èỡẩè\mag_tr_12_ãẫºốẻịẳÊ.spr	Head	Loop	0	0	15	1	12	1	Phi Hồng Vô Tích
Status28	\spr\skill\èỡẩè\mag_tr_13_ÀữÄĐảỏằờ.spr	Head	Loop	0	0	15	1	12	1	Lịch Ma Đoạt Hồn
Status29	\spr\skill\èỡẩè\mag_tr_14_ẻồééếú.spr	Foot	Loop	0	0	15	1	18	1	Ngũ hành trận
Status30	\spr\skill\èỡẩè\mag_tr_15_èỡÄĐẵõèồ.spr	Head	Loop	0	0	15	1	15	1	Thiên Ma Giải Thể 
Status31	\spr\skill\´ọẹè\mag_cy_06_ẹâảĩ.spr	Body	Loop	4	12	16	1	18	1	Tuyết Thuẫn
Status32	\spr\skill\´ọẹè\mag_cy_07_±ựảĩ.spr	Body	Loop	4	12	16	1	18	1	Băng Thuẫn
Status33	\spr\skill\´ọẹè\mag_cy_09_ẹâể°.spr	Body	Loop	16	16	16	1	15	1	Tuyết ảnh
Status34	\spr\skill\´ọẹè\mag_cy_12_ẫóéÄấừ.spr	Head	Loop	0	0	18	1	6	1	Nhiếp Tâm Thuật
Status35	\spr\skill\èặÃÅ\tm_01_ảắáẵẳể.spr	Head	Loop	0	0	30	1	18	1	Tăng độc
Status36	\spr\skill\èặÃÅ\tm_02_±ựáẵẳể.spr	Head	Loop	0	0	30	1	18	1	Tăng băng
Status37	\spr\skill\ảởỏề\mag_em_06_ầùãỗềả.spr	Foot	Loop	0	0	16	1	16	1	Thu Phong Diệp
